study,Total1,Mean1,SD1,Total2,Mean2,SD2,subgroup,SEX.,Age,RA duration ,Mean baseline DAS28- CRP 
Fleischmann et al. 2012,49,9.46,80.36,34,0.16,66.298,Tofacitinib,87.9,53.67,14.65,5.6
Kremer et al. 2012,71,5.07,13.313,69,-2.55,11.629,Tofacitinib,80.74,52.49,15.31,5.2
Kremer et al. 2009,61,7,18.37,65,2,15.01,Tofacitinib,85.71,49.65,9.43,6.1
Fleischmann et al. 2017,215,8.3,14.66,210,2.8,14.49,Baricitinib,71.52,49.99,1.3,5.9
Taylor et al. 2017,487,9.5,13.24,488,-0.1,0.6,Baricitinib,77,53.5,10,5.75
Dougados et al. 2016,227,8.12,11.65,228,0.39,11.68,Baricitinib,82.5,51.5,7.5,5.55
Genovese et al. 2016,177,8.4,10.64,176,0,10.61,Baricitinib,83,56,14,5.9
Tanaka et al. 2016,24,5.32,14.21,49,-3.19,9.18,Baricitinib,79.67,53.2,5.36,4.8
Keystone et al. 2014,52,7.3,12.9,98,0.7,8.5,Baricitinib,81.45,50.39,5.37,5.43
Takeuchi et al. 2019,174,12.761,11.369,170,0.425,8.546,Peficitinib,71.5,56.92,4.35,5.4
Tanaka et al. 2019,102,14.04,12.1,102,0.89,9.28,Peficitinib,74.4,55.65,8.7,5.4
Genovese et al. 2017,64,4.3,4.92,51,1.6,5.8,Peficitinib,80.2,53.57,10.16,5.9
Kivitz et al. 2017,78,7.34,12.04,72,-2.16,9.05,Peficitinib,84.7,53.43,7.25,5.5
Takeuchi et al. 2015,58,13.07,10.98,56,-3.52,9.05,Peficitinib,82.6,52.88,6.95,5.25
Combe et al. 2021,480,5,12.8,475,-1,11,Filgotinib,76.75,52.5,9.5,6.2
Kavanaugh et al. 2016,70,7.35,9.7,72,1.16,13.13,Filgotinib,82.69,53,7.89,5.7
Rubbert-Roth et al. 2020,303,7.73,15.08,309,1.93,10.83,Upadacitinib,82,55.55,12.1,5.8
Fleischmann et al. 2019,651,7.88,12.76,651,0.62,10.05,Upadacitinib,79.5,54,8,5.8
