study,treatment,sampleSize,mean,std.dev
Fleischmann et al. 2012,Tofacitinib,49,9.46,80.36
Fleischmann et al. 2012,Placebo,34,0.16,66.298
Kremer et al. 2012,Tofacitinib,71,5.07,13.313
Kremer et al. 2012,Placebo,69,-2.55,11.629
Kremer et al. 2009,Tofacitinib,61,7,18.37
Kremer et al. 2009,Placebo,65,2,15.01
Fleischmann et al. 2017,Baricitinib,215,8.3,14.66
Fleischmann et al. 2017,Placebo,210,2.8,14.49
Taylor et al. 2017,Baricitinib,487,9.5,13.24
Taylor et al. 2017,Placebo,488,-0.1,0.6
Dougados et al. 2016,Baricitinib,227,8.12,11.65
Dougados et al. 2016,Placebo,228,0.39,11.68
Genovese et al. 2016,Baricitinib,177,8.4,10.64
Genovese et al. 2016,Placebo,176,0,10.61
Tanaka et al. 2016,Baricitinib,24,5.32,14.21
Tanaka et al. 2016,Placebo,49,-3.19,9.18
Keystone et al. 2014,Baricitinib,52,7.3,12.9
Keystone et al. 2014,Placebo,98,0.7,8.5
Takeuchi et al. 2019,Peficitinib,174,12.761,11.369
Takeuchi et al. 2019,Placebo,170,0.425,8.546
Tanaka et al. 2019,Peficitinib,102,14.04,12.1
Tanaka et al. 2019,Placebo,102,0.89,9.28
Genovese et al. 2017,Peficitinib,64,4.3,4.92
Genovese et al. 2017,Placebo,51,1.6,5.8
Kivitz et al. 2017,Peficitinib,78,7.34,12.04
Kivitz et al. 2017,Placebo,72,-2.16,9.05
Takeuchi et al. 2015,Peficitinib,58,13.07,10.98
Takeuchi et al. 2015,Placebo,56,-3.52,9.05
Combe et al. 2021,Filgotinib,480,5,12.8
Combe et al. 2021,Placebo,475,-1,11
Kavanaugh et al. 2016,Filgotinib,70,7.35,9.7
Kavanaugh et al. 2016,Placebo,72,1.16,13.13
Fleischmann et al. 2019,Upadacitinib,651,7.88,12.76
Fleischmann et al. 2019,Placebo,651,0.62,10.05
