study,treatment,sampleSize,mean,std.dev
Fleischmann et al. 2012,Tofacitinib,49,21.83,190.96
Fleischmann et al. 2012,Placebo,34,8.66,129.214
Kremer et al. 2012,Tofacitinib,71,10.98,33.283
Kremer et al. 2012,Placebo,69,-1.72,26.997
Kremer et al. 2009,Tofacitinib,61,14,44.28
Kremer et al. 2009,Placebo,65,-1,38.95
Taylor et al. 2017,Baricitinib,487,16,22.068
Taylor et al. 2017,Placebo,488,-3,22.091
Fleischmann et al. 2017,Baricitinib,215,13,29.326
Fleischmann et al. 2017,Placebo,210,4,28.983
Dougados et al. 2016,Baricitinib,227,8.507,23.305
Dougados et al. 2016,Placebo,228,0.387,23.356
Genovese et al. 2016,Baricitinib,177,8.8,14.635
Genovese et al. 2016,Placebo,176,0.6,17.246
Tanaka et al. 2016,Baricitinib,24,13.051,15.565
Tanaka et al. 2016,Placebo,49,-1.16,13.728
Keystone et al. 2014,Baricitinib,52,9.5,30.3
Keystone et al. 2014,Placebo,98,-4.7,25.1
Takeuchi et al. 2019,Peficitinib,174,9.513,18.097
Takeuchi et al. 2019,Placebo,170,0.619,14.965
Tanaka et al. 2019,Peficitinib,102,10.87,27.57
Tanaka et al. 2019,Placebo,102,0.77,18.83
Genovese et al. 2017,Peficitinib,64,2.02,9.65
Genovese et al. 2017,Placebo,51,1.21,7.93
Kivitz et al. 2017,Peficitinib,78,2.7,18.43
Kivitz et al. 2017,Placebo,72,1.47,19.61
Takeuchi et al. 2015,Peficitinib,58,8.04,23.4
Takeuchi et al. 2015,Placebo,56,-6.26,18.52
Combe et al. 2021,Filgotinib,480,12,25.9
Combe et al. 2021,Placebo,475,5,23.4
Kavanaugh et al. 2016,Filgotinib,70,10.815,32.353
Kavanaugh et al. 2016,Placebo,72,-0.3867,19.687
Fleischmann et al. 2019,Upadacitinib,651,19.84,30.01
Fleischmann et al. 2019,Placebo,651,-1.93,24.75
